"registration_area","edrpou","public_name","тип_працівника","спеціальність","count"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","керівник закладу ОЗ",NULL,"1"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","працівник реєстратури",NULL,"3"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Анестезіологія","9"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Бактеріологія","1"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Кардіологія","8"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Клінічна біохімія","2"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Дерматовенерологія","1"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Медицина невідкладних станів","4"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Ендокринологія","2"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Ендоскопія","2"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Епідеміологія","1"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Ерготерапія","1"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Функціональна діагностика","1"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Хірургія","19"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Інфекційні хвороби","4"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Медична психологія","1"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Наркологія","4"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Неонатологія","1"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Неврологія","12"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Акушерство і гінекологія","26"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Офтальмологія","2"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Ортопедія і травматологія","16"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Отоларингологія","8"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Патологічна анатомія","2"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Дитяча анестезіологія","2"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Дитяча ендокринологія","2"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Дитяча гінекологія","1"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Педіатрія","5"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Дитячі інфекційні хвороби","1"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Дитяча неврологія","2"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Дитяча отоларингологія","1"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Дитяча психіатрія","1"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Дитяча хірургія","2"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Фізична та реабілітаційна медицина","5"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Психіатрія","2"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Організація і управління охороною здоров'я","3"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Терапевтична стоматологія","1"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Терапія","14"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Трансфузіологія","1"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Ультразвукова діагностика","5"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Урологія","6"
"ВІННИЦЬКА","01982525","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЖМЕРИНСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" ЖМЕРИНСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Рентгенологія","6"
"ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","адміністратор",NULL,"1"
"ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","асистент","Лабораторна справа (клініка)","16"
"ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","асистент","Лікувальна справа","10"
"ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","асистент","Медична статистика","2"
"ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","асистент","Сестринська справа","156"
"ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","асистент","Акушерська справа","9"
"ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","асистент","Сестринська справа (операційна)","15"
"ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","асистент","Рентгенологія","11"
"ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","Виконуючий функції адміністрування медичних записів","Організація і управління охороною здоров'я","1"
"ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","керівник закладу ОЗ",NULL,"1"
"ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","працівник реєстратури",NULL,"1"
"ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Анестезіологія","8"
"ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Бактеріологія","1"
"ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Кардіологія","3"
"ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Клінічна лабораторна діагностика","3"
"ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Дерматовенерологія","3"
"ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Медицина невідкладних станів","5"
"ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Ендокринологія","1"
"ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Ендоскопія","1"
"ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Епідеміологія","1"
"ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Ерготерапія","2"
"ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Гастроентерологія","1"
"ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Хірургія","8"
"ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Інфекційні хвороби","4"
"ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Наркологія","1"
"ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Неонатологія","3"
"ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Неврологія","3"
"ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Акушерство і гінекологія","12"
"ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Офтальмологія","6"
"ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Ортопедія і травматологія","6"
"ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Отоларингологія","2"
"ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Патологічна анатомія","1"
"ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Дитяча анестезіологія","1"
"ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Дитяча ендокринологія","1"
"ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Педіатрія","1"
"ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Дитяча ортопедія і травматологія","1"
"ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Дитяча отоларингологія","1"
"ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Дитяча хірургія","1"
"ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Фтизіатрія","1"
"ВІННИЦЬКА","01982554","""КАЛИНІВСЬКА ЦЕНТРАЛЬНА РАЙОННА ЛІКАРНЯ"" КАЛИНІВСЬКОЇ МІСЬКОЇ РАДИ","спеціаліст","Фізична та реабілітаційна медицина","2"
